city,province,latitude,longitude
gubenxa kroon,eastern cape,-31.35446,28.148033
gubhuzi,eastern cape,-30.631194,28.968407
gubuzi,eastern cape,-30.740639,29.145715
gudeka,eastern cape,-31.121759,29.332161
guduse,eastern cape,-31.900911,28.55746
guguletu,western cape,-33.983511,18.570596
gugwini,eastern cape,-30.501519,29.940445
guinesses,free state,-30.189079,26.994412
gulandoda,eastern cape,-31.59792,28.035232
guleka,kwazulu natal,-30.333102,30.500248
guliga,kwazulu natal,-30.333102,30.500248
gulu,eastern cape,-33.114725,27.725931
gumdale,eastern cape,-31.167539,26.55582
gume,eastern cape,-32.333333,28.816667
gumzana,eastern cape,-31.025883,29.984492
gungululu,eastern cape,-31.429524,28.860576
gunjana,kwazulu natal,-28.644495,30.351765
gura,eastern cape,-31.028961,28.83599
guse,eastern cape,-31.82693,27.465655
gusenzamo,kwazulu natal,-28.17504,31.654167
guthrie,mpumalanga,-25.6,30.933333
gutshwa,mpumalanga,-25.266667,31.2
gutshwe,mpumalanga,-25.299952,31.147185
guwini,eastern cape,-30.735568,29.436895
guxuxu,eastern cape,-32.319148,28.557515
gwadana,eastern cape,-32.214563,28.292797
gwadu,eastern cape,-32.183333,28.616667
gwalali,limpopo,-22.4,31.3
gwalana,eastern cape,-33.271336,27.112032
gwarriehoek,limpopo,-24.733333,27.483333
gwentham,free state,-29.008988,26.214247
gweta,mpumalanga,-24.909926,31.039323
gwili gwili,eastern cape,-32.680489,27.20232
gxaha,eastern cape,-32.599707,28.377149
gxaku,eastern cape,-30.683333,28.633333
gxara,eastern cape,-31.999355,28.288117
gxara trading station,eastern cape,-32.599707,28.377149
gxokoza,eastern cape,-31.587855,29.268228
gxulu,eastern cape,-33.114725,27.725931
gxwaleni,eastern cape,-30.738915,29.528272
haakdoorndraai,mpumalanga,-25.187978,29.565522
haakdoorn,northern cape,-28.983333,22.3
haakdoringdraai,mpumalanga,-25.187978,29.565522
haarlem,eastern cape,-31.044591,26.569909
haarlem,western cape,-33.73302,23.342632
haasfonteindorings,eastern cape,-31.956656,26.353478
haaskraal,north west,-26.768035,27.034809
haaspoort,eastern cape,-31.157645,26.112934
hackney and cibini,eastern cape,-32.333333,26.65
hackney,eastern cape,-32.317199,26.645061
hadiaho,eastern cape,-30.266667,28.583333
hadi,eastern cape,-31.5503,28.8258
haenerstburg,limpopo,-23.944368,29.944866
haenertsburg,limpopo,-23.944368,29.944866
ha-folovhodwe,limpopo,-22.589149,30.425048
haga-haga bay,eastern cape,-32.763495,28.246455
haga-haga,eastern cape,-32.763495,28.246455
hagesdam,free state,-29.358063,25.783446
haisaka,eastern cape,-30.25,28.583333
hakboslaagte,north west,-26.327113,26.152982
ha-lambani,limpopo,-22.720273,30.831499
halfpadrivier,northern cape,-30.516667,20.016667
halfway house,gauteng,-25.997137,28.129919
halifax,north west,-26.208188,23.226071
hallack rock,eastern cape,-33.966667,25.6
halseton,eastern cape,-31.533333,26.816667
ha-madala,limpopo,-22.850193,30.281792
ha-madodonga,limpopo,-23.091312,29.6793
ha-magau,limpopo,-23.132706,29.848093
ha-magoro,limpopo,-23.300082,30.315696
ha-majoro,eastern cape,-30.348432,28.456346
hamakuya,limpopo,-22.636789,30.837469
ha-mamuhoyi,limpopo,-22.870657,30.121835
ha-manavhela,limpopo,-23.066667,29.616667
ha-mantsha,limpopo,-23.07904,29.774448
ha-matsheketsheke,limpopo,-22.73424,30.408524
ha-matsika,limpopo,-22.858894,30.693608
ha-mavhunga,limpopo,-22.924925,30.116817
hamburg,eastern cape,-33.284099,27.452699
hamewith,kwazulu natal,-28.943796,31.719079
hamilton,free state,-30.366147,26.64944
hammanskraal,north west,-25.40892,28.286996
hammarsdale,kwazulu natal,-29.800827,30.651961
hammersdale,kwazulu natal,-29.800827,30.651961
ha-mothibisi,eastern cape,-30.36058,28.35087
hamsini,eastern cape,-31.794713,29.084882
ha-mubua,limpopo,-23.1,29.733333
hanakoe,free state,-29.45707,26.986696
hananwa,limpopo,-23.083333,28.95
hanglip,limpopo,-24.216667,28.766667
haningfontein,limpopo,-24.45,28.266667
hankey,eastern cape,-33.833079,24.883586
hannskop,western cape,-33.45,23.216667
ha-nokholoko,eastern cape,-30.616638,28.228445
hanover,eastern cape,-32.818993,27.480597
hanover,mpumalanga,-26.797338,29.777589
hanover,northern cape,-31.06856,24.442516
hanover park,western cape,-33.994609,18.529775
hanover road,northern cape,-30.952372,24.53683
hanoverweg,northern cape,-30.952372,24.53683
hanslaagte,mpumalanga,-24.933333,30.2
hans masibislokasie,limpopo,-23.983333,28.833333
hansonia,kwazulu natal,-29.7,29.716667
hans se kaalte,limpopo,-24.45,28.35
happy home,eastern cape,-32.854591,28.07809
happy rest,limpopo,-23.033333,29.733333
happy valley,eastern cape,-32.477756,27.074449
happy valley,northern cape,-29.573955,22.178562
happy valley,western cape,-33.933406,20.074828
ha-qhadi,eastern cape,-30.613586,28.468414
ha-rabali,limpopo,-22.878584,30.093927
ha-radali,limpopo,-22.908299,30.437232
ha-ramahantsha,limpopo,-23.106352,29.763354
ha-ramarolong,eastern cape,-30.238564,28.413374
ha-rankopane,free state,-28.557022,28.83464
harantsatsa,free state,-29.150096,26.922
harburg,kwazulu natal,-29.410314,30.736979
hardale,eastern cape,-31.166216,28.476003
hardekraaltjie,limpopo,-23.524965,27.215756
harden heights,kwazulu natal,-29.265009,30.620493
hardeveld,eastern cape,-31.683333,27.35
harding,kwazulu natal,-30.576429,29.884006
hardop,eastern cape,-31.733333,25.933333
harefield,eastern cape,-32.678884,28.005673
harkerville,western cape,-34.037076,23.237533
harmonie,free state,-27.555036,27.643915
harmonie,eastern cape,-31.202501,25.782556
harmonie,limpopo,-23.803647,28.894199
harmony,limpopo,-23.090435,29.848545
harmony,western cape,-34.116667,18.383333
harpington,north west,-26.78636,27.065584
harrismith,free state,-28.272758,29.129462
harrison,kwazulu natal,-29.733333,30.633333
harrow,north west,-26.312629,23.234459
hartbeesbult,limpopo,-24.49282,27.418885
hartbeesfontein,free state,-30.14707,26.14397
hartbeesfontein,mpumalanga,-26.918545,29.676599
hartbeesfontein,north west,-26.765659,26.420241
hartbeesnek,eastern cape,-31.3,26.15
hartbeespoort,north west,-25.733333,27.85
hartbeestfontein,limpopo,-24.484091,27.736911
hart dale,eastern cape,-31.379367,28.269888
hartebeesfontein,free state,-30.19654,26.41281
hartebeesfontein,eastern cape,-31.633333,26.166667
hartebeesfontein,limpopo,-24.561515,28.076197
hartebeesfontein,north west,-26.889675,26.806962
hartebeeskop,mpumalanga,-26.183333,30.933333
hartebeeskraal,western cape,-33.767299,19.003749
hartebeesnek,eastern cape,-31.966667,26.7
hartebeespoort,limpopo,-24.514489,28.084703
hartebeesrivier,western cape,-34.366667,19.516667
hartebeestfontein,north west,-26.765659,26.420241
hartebeestkop,mpumalanga,-26.183333,30.933333
hartebeestkraal,western cape,-33.767299,19.003749
hartebeestpoort,north west,-25.733333,27.85
hartebeest rivier,western cape,-34.366667,19.516667
hartebeestspruit,mpumalanga,-26.7,30.15
hartebeest vlakte,northern cape,-28.75,21.566667
hartelus,mpumalanga,-25.266667,29.833333
hartenbos,western cape,-34.130523,22.112901
hartlea,kwazulu natal,-29.9,29.383333
hartsdale,eastern cape,-31.379367,28.269888
hartsenbergfontein,gauteng,-26.397421,27.956029
harts river,north west,-26.8,25.55
hartsrivier,north west,-26.8,25.55
hartswater,northern cape,-27.749639,24.797115
hartzenbergfontein,gauteng,-26.397421,27.956029
hasana,limpopo,-23.090954,30.477819
ha-sefoko,eastern cape,-30.404078,28.360523
hasetati,eastern cape,-30.454433,28.516239
hatchleydene,eastern cape,-32.643075,28.166121
hatchley,eastern cape,-32.643075,28.166121
hatfield,gauteng,-25.749728,28.243141
hatherley,gauteng,-25.733333,28.366667
hatherly,gauteng,-25.733333,28.366667
ha-tlhakanelo,eastern cape,-30.240377,28.435974
hattingspruit,kwazulu natal,-28.079052,30.125204
hauptsrus,north west,-26.55,26.283333
hauptsrust,north west,-26.55,26.283333
hawston,western cape,-34.386345,19.130989
hayfield,free state,-29.098734,26.942266
hay paddock,kwazulu natal,-29.616667,30.416667
hazeldene,kwazulu natal,-30.508197,30.529343
hazeldene,eastern cape,-31.963123,25.690542
hazenjacht,western cape,-33.550528,22.415381
hazyview,mpumalanga,-25.043983,31.12767
healdton fingo,eastern cape,-32.733333,26.666667
healdtown,eastern cape,-32.716667,26.716667
heather bell,gauteng,-26.083333,28.333333
heatherlands,western cape,-33.949486,22.442853
heathfield,eastern cape,-31.846545,26.003817
heathfield,western cape,-34.047645,18.46808
heathview,north west,-25.944668,25.39108
heatonville,kwazulu natal,-28.661941,31.785615
heavyrest mission,north west,-27.456445,24.737857
hebehebe,eastern cape,-32.236075,27.830299
hebron,free state,-29.001927,25.962277
hebron,eastern cape,-30.675327,26.436019
hebron,north west,-25.550242,28.022796
heckel,eastern cape,-32.450664,27.538772
hectorspruit,mpumalanga,-25.441146,31.68382
hedley plains,northern cape,-29.680453,21.550517
heelfontein,free state,-29.555184,26.551272
heelgoed,free state,-30.1,27.3
heeltevrede,free state,-29.017867,26.182685
heidelberg,gauteng,-26.504759,28.359214
heidelberg,western cape,-34.091267,20.956611
heidelburg,gauteng,-26.504759,28.359214
heideveld,western cape,-33.964769,18.548435
heights,eastern cape,-33.854513,23.976492
heilbron,free state,-27.281154,27.970901
heilbron,eastern cape,-31.695219,26.06337
heiso,north west,-27.296651,23.828334
hekpoort,gauteng,-25.882235,27.61654
hekpoort,limpopo,-23.778107,29.974441
hela hela,kwazulu natal,-29.908307,30.097036
zamdela,free state,-26.837306,27.843526
zamenkomst,mpumalanga,-24.983333,29.033333
zamokwake,kwazulu natal,-27.994763,31.986663
zanci,eastern cape,-31.834049,28.858755
zandbergshoop,northern cape,-29.616564,21.104566
zandbult,limpopo,-23.683333,27.25
zanddraai,free state,-27.841501,28.788046
zandfontein,eastern cape,-31.374506,26.202694
zandfontein,limpopo,-23.728268,29.121947
zandkraalpoort,eastern cape,-33.266667,24.016667
zandkraalspoort,eastern cape,-33.266667,24.016667
zand rivier,western cape,-33.151437,20.023664
zandukwane,eastern cape,-31.380062,28.838693
zandvlakte,eastern cape,-33.581871,24.16594
zandvlei,northern cape,-30.63181,21.981082
zangontshi,eastern cape,-31.144793,29.933558
zangotsho,eastern cape,-31.144793,29.933558
zangqokwe,eastern cape,-32.075324,26.574481
zangwa,eastern cape,-32.427574,28.035784
zanyokwe,eastern cape,-32.766667,27.1
zaphiri,north west,-27.15,23.4
zastron,free state,-30.302249,27.083951
zazulwana skool,eastern cape,-32.283333,28.15
zazulwana,eastern cape,-32.283333,28.15
zebediela estates,limpopo,-24.3,29.25
zebedielas location,limpopo,-24.416667,29.383333
zebediela,limpopo,-24.298378,29.25147
zebra,western cape,-33.763701,22.315524
zeekoegat,free state,-30.367163,26.884615
zeekogat,kwazulu natal,-29.45,30.45
zeerust,north west,-25.536951,26.075117
zending,limpopo,-23.1,29.45
zesfontein,gauteng,-26.082507,28.367682
zevenjaarsfontein,free state,-30.516667,26.833333
zhikova,eastern cape,-33.231547,27.476486
zibi's,eastern cape,-32.733333,26.983333
zibukweni,eastern cape,-30.99452,29.707741
zibungu,eastern cape,-31.471575,29.214067
zidindi,eastern cape,-31.990847,29.03103
zidulini,eastern cape,-30.914011,28.909367
ziest,mpumalanga,-25.781768,31.205469
zigadini,eastern cape,-32.240151,28.053603
zigodlo,eastern cape,-32.981713,27.069835
zigudu,eastern cape,-32.166667,27.483333
zihlahleni,eastern cape,-32.852254,27.16546
zihlakenpele,kwazulu natal,-27.84119,31.835434
zilandana,eastern cape,-31.104159,28.83284
zilangwe,eastern cape,-30.736268,29.704235
zimbane,eastern cape,-30.744858,28.556132
zimbileni,eastern cape,-30.970954,28.521865
zimbungu,eastern cape,-31.471575,29.214067
zimpawaneni,eastern cape,-30.669662,29.118314
zimpofu,eastern cape,-30.610295,28.670176
zincuka,eastern cape,-30.60944,28.582391
zincukutwini,eastern cape,-31.858885,29.116879
zinduneni,eastern cape,-31.683333,29.2
zingadini,eastern cape,-31.817889,27.663991
zingcuka,eastern cape,-30.983749,28.934455
zingolweni,kwazulu natal,-30.784086,30.122944
zingonyameni,eastern cape,-30.608185,28.535301
zingqutu,eastern cape,-31.737194,27.517652
zingqwene,eastern cape,-31.70251,27.366481
zingxala,eastern cape,-32.461059,28.292473
zinkawu,eastern cape,-31.986339,29.053538
zinkumbini,eastern cape,-31.433333,29.016667
zintlawini,eastern cape,-31.4,28.416667
zintukwini,eastern cape,-31.589171,28.469676
zinyosini,eastern cape,-31.093449,29.128581
ziqalabeni,eastern cape,-30.53127,28.790541
ziqangweni,eastern cape,-31.65,29.483333
ziqhorana,eastern cape,-32.270029,28.651673
zirkie,northern cape,-28.95,22.816667
zisovini,eastern cape,-31.583813,26.97655
zitapile,eastern cape,-30.569706,28.861246
zitenjini,eastern cape,-31.880796,28.84903
zitenji,eastern cape,-32.404261,28.668335
zithulele,eastern cape,-32.047906,29.059159
ziwundwana,eastern cape,-31.983333,28.166667
ziwundwane,eastern cape,-31.983333,28.166667
zixekeni,eastern cape,-31.933333,28.783333
